category	location	match
header_redirect	./aggregate_graphs.php:459			header('Location: ' . CACTI_PATH_URL . $location_success);
header_redirect	./aggregate_graphs.php:739					header('Location: aggregate_graphs.php');
header_redirect	./aggregate_graphs.php:746					header('Location: aggregate_graphs.php?action=edit&tab=items&id=' . $local_graph_id);
header_redirect	./aggregate_graphs.php:75			header('Location: aggregate_graphs.php?action=edit&id=' . gfrv('local_graph_id'));
header_redirect	./aggregate_graphs.php:753					header('Location: aggregate_graphs.php?action=edit&tab=items&id=' . $local_graph_id);
header_redirect	./aggregate_graphs.php:766			header('Location: aggregate_graphs.php');
header_redirect	./aggregate_graphs.php:827						header('Location: aggregate_graphs.php');
header_redirect	./aggregate_graphs.php:838						header('Location: aggregate_graphs.php');
header_redirect	./aggregate_graphs.php:864							header('Location: aggregate_graphs.php');
header_redirect	./aggregate_graphs.php:882						header('Location: aggregate_graphs.php');
header_redirect	./aggregate_graphs.php:89			header('Location: aggregate_graphs.php?action=edit&id=' . gfrv('local_graph_id'));
header_redirect	./aggregate_graphs.php:95			header('Location: aggregate_graphs.php?action=edit&id=' . gfrv('local_graph_id'));
header_redirect	./aggregate_templates.php:118			header('Location: aggregate_templates.php?action=edit&id=' . gnrv('id'));
header_redirect	./aggregate_templates.php:169			header('Location: aggregate_templates.php?action=edit&id=' . gnrv('id'));
header_redirect	./aggregate_templates.php:272		header('Location: aggregate_templates.php?action=edit&id=' . $id);
header_redirect	./aggregate_templates.php:298			header('Location: aggregate_templates.php');
header_redirect	./aggregate_templates.php:71			header('Location: aggregate_templates.php?action=edit&id=' . gnrv('id'));
header_redirect	./auth_2fa.php:31		header('Location: logout.php');
header_redirect	./auth_changepassword.php:105		header("Location: $return");
header_redirect	./auth_changepassword.php:112		header('Location: graph_view.php');
header_redirect	./auth_changepassword.php:242				header('Location: logout.php');
header_redirect	./auth_changepassword.php:358			header('Location:index.php');
header_redirect	./auth_changepassword.php:49				header("Location: $referer");
header_redirect	./auth_changepassword.php:91		header("Location: $return");
header_redirect	./auth_profile.php:286		header('Location: auth_profile.php' . $tab);
header_redirect	./auth_resetpassword.php:212				header('Location: index.php');
header_redirect	./automation_devices.php:138			header('Location: automation_devices.php');
header_redirect	./automation_devices.php:689		header('Location: automation_devices.php');
header_redirect	./automation_graph_rules.php:149			header('Location: automation_graph_rules.php');
header_redirect	./automation_graph_rules.php:255		header('Location: automation_graph_rules.php?action=import');
